ID,Traditional,Simplified,Level,Pinyin,POS,Meaning,Compounds,Examples,WFreq,SFreq,MOE
1,愛,爱,1,ài,Vs/N,to love / love,,我愛你。他很愛吃水果。 / 爸爸媽媽對孩子的愛很多。,535,681,39542
2,吧,吧,1,ba,Ptc,"final particle (for confirming, request)",走吧。,你是從英國來的吧？我們一起去運動吧！,706,748,32 103
3,八,八,1,bā,N,eight,八個，八張，八年。,他買了八個包子。,214,163,1
4,爸爸,爸爸,1,bàba,N,father,,我爸爸喜歡看電影。爸爸，生日快樂。,226,806,82
4,爸,爸,1,bà,N,father,,我爸爸喜歡看電影。爸爸，生日快樂。,226,806,81
5,百,百,1,bǎi,N,hundred,一百個人，三百六十五天，一百五十分鐘，一百塊。,一年有三百六十五天。,108,77,157 334
6,半,半,1,bàn,N,half,半個，半杯，半個鐘頭。,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。,334,279,960
7,本,本,1,běn,M,"classifier for books, periodicals, files, etc.",一本書，這本書。,老師送給我三本書。,745,368,1054
8,不,不,1,bù,Adv,not,不是，不要，不會，不好，不去，不漂亮，不喜歡。,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。,9278,8951,1911 5466
9,茶,茶,1,chá,N,tea,一杯茶。,你有時間坐下來喝杯茶嗎？,89,449,31581
10,車子,车子,1,chēzi,,,,,275,320,
10,車,车,1,chē,,,,,275,320,
11,吃,吃,1,chī,V,"to eat, to have (food)",吃飯，吃飽，吃藥。,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。,668,1438,21385 31362
12,吃飯,吃饭,1,chīfàn,V/Ph,"to eat, to have a meal / to eat rice",回家吃飯，吃了飯。,今天晚上要不要一起去吃飯？吃飯以前要洗手。 / 今天你想吃飯還是吃麵？,60,140,
13,打,打,1,dǎ,V,"to play (baseball, basketball, bowling, computer games, mobile games, etc.) / to call / to beat, to hit",打球，打電話，打人。,我們明天要去打球。 / 我晚上打電話給你。 / 你不應該打人。,352,364,6762
14,大,大,1,dà,Vs,"big, large / older",大杯，大房子，大五歲。,我們學校很大。他買了一輛很大的車。我們今天在大教室上課。 / 姐姐比我大五歲。,2110,2859,6933 7483
15,大家,大家,1,dàjiā,N,"everybody, everyone",大家一起。,大家好！我給大家介紹台灣的小吃。,464,1712,7168 45136
16,大學,大学,1,dàxué,N,university,……大學，念大學，上大學。,他在大學學中文。,380,219,7237
17,帶,带,1,dài,V,"to bring, to take / to lead",帶著＋N，帶＋N來，外帶，帶＋人去＋地方。,我今天沒帶手機。這杯咖啡，你要外帶嗎？ / 媽媽帶孩子去公園玩。,450,684,7560
18,到,到,1,dào,V/Prep,to arrive / to,到家，到學校去，到台灣來。,十分鐘以後我就到家了。 / 我要到學校去上課。,2297,3229,7667
19,的,的,1,de,Ptc,possession marker / modifier marker,我的筆，姊姊的工作，學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師。,你的書在桌子上。這個是媽媽的杯子。 / 這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。,62002,62578,7457 8310 8568
20,點,点,1,diǎn,M/V,o'clock / to order,下午三點，點菜，點歌。,你明天幾點到學校？ / 我們點三個菜、一個湯。,479,684,8812
21,電話,电话,1,diànhuà,N,"telephone, phone",一部電話，電話號碼，打電話。,我們家的電話壞了，不能打出去。你的電話號碼幾號？她打電話給我。,167,72,8938
22,弟弟,弟弟,1,dìdi,N,younger brother,兩個弟弟。,我有兩個弟弟。他是我弟弟。,96,88,8531
22,弟,弟,1,dì,N,younger brother,兩個弟弟。,我有兩個弟弟。他是我弟弟。,96,88,8528 10822
23,東西,东西,1,dōngxi,N,"things, stuff",什麼東西，吃東西，買東西。,我餓了，想吃點東西。我今天買了很多東西。,561,1120,9785 9787
24,都,都,1,dōu,Adv,all,,大家都到了，我們吃飯吧！我和媽媽都喜歡運動。這些字，我都學過了。,4645,7029,7780 9182
25,對,对,1,duì,Vs,"correct, right",對不對，不對。,我們應該坐三點的車，對不對？這個字寫得不對。,3485,5883,9499
26,對不起,对不起,1,duìbùqǐ,Ph,"sorry, excuse me",,對不起，我昨天沒來上課。,37,65,9507
27,多,多,1,duō,Vs/Adv/Det,"many, much / how much, how many / over",多一點A比B多，多高，多大，兩百多塊，三百多人，一年多，十二點多。,我今天吃了很多東西。我的中文書比你的多。 / 你兒子今年多大了？ / 他學了一年多的中文。十二點多了，快吃飯吧！,1236,1594,9365
28,多少,多少,1,duōshǎo,N,"how many, how much",有多少，多少錢。,這裡一共有多少人？這枝筆多少錢？,207,272,9405
29,二,二,1,èr,N,two,二十年，二號，二月二日。,我的生日是二月二十日。,539,227,39931
30,兒子,儿子,1,érzi,N,son,我兒子，三個兒子。,他有一個十歲的兒子。;,277,149,39888
31,分,分,1,fēn,N,minute,幾點幾分。,我每天六點十分起床。,225,359,5702 5840
32,高,高,1,gāo,Vs,tall,,台灣最高的山是玉山。你知道台北101有多高嗎？,496,694,16055
33,個,个,1,ge,M,classifier for people or objects in general,一個麵包，這個東西，那個小孩，每個人。,這個麵包很好吃。我家有五個人。,9562,20644,15934 15960
34,哥哥,哥哥,1,gēge,N,elder brother,哥哥姊姊，他哥哥。,我有兩個哥哥。他是我哥。,113,148,15836
34,哥,哥,1,gē,N,elder brother,哥哥姊姊，他哥哥。,我有兩個哥哥。他是我哥。,113,148,15835
35,給,给,1,gěi,V/Prep,"to give / to, for",,請給我一杯咖啡。 / 我給媽媽買衣服。桌上的杯子，請拿給我。請給我們介紹台灣好玩的地方。,1039,1401,16048 21535
36,工作,工作,1,gōngzuò,N,"work, job, task",做……工作，找工作。,他想在大學找一個工作。,904,994,17599
37,國,国,1,guó,N,"nation, country",哪國。,你是哪國人？,256,363,16933
38,孩子,孩子,1,háizi,N,"kids,child, childern / son, daughter",孩子們，每個孩子，兩個孩子。,孩子都喜歡玩。 / 他們有兩個孩子，一個兒子，一個女兒。,1345,1059,19228
39,和,和,1,hàn,Conj/Prep,and / (together) with,……和……，和……一起＋V。,我的房間裡有兩張桌子和一張椅子。 / 我和他一起學中文。,5437,2135,19016 19190 19725 19883 20369 20436
39,和,和,1,hé,Conj/Prep,and / (together) with,……和……，和……一起＋V。,我的房間裡有兩張桌子和一張椅子。 / 我和他一起學中文。,5437,2135,19016 19190 19725 19883 20369 20436
40,號,号,1,hào,N,number / day / grade,三十號，六號三樓，三月六號，大號，中號，小號。,我住在163號房。我住在中山路179號。 / 我媽媽的生日是十二月九號。 / 我穿小號的衣服。,73,295,19417 19511
41,好,好,1,hǎo,Vs/Adv/Ph,"good, well / very / to say hello to / would you",好累，好漂亮，好痛，好忙，你好，大家好。,今天天氣很好。今天是好天氣。他中文說得很好。 / 我今天好累。 / 老師好，同學好。 / 我們一起去吃飯，好嗎？,1887,5853,19419 19462
42,喝,喝,1,hē,V,to drink,喝茶，喝牛奶，喝湯。,你要喝茶嗎？我喜歡在睡覺以前喝一杯牛奶。,250,296,19012 19194
43,很,很,1,hěn,Adv,"very, quite",很＋Vs：很大，很高，很快，很漂亮，很快樂。,他很高。這個水果很甜。這個字很難寫。,3068,6550,19755
44,後,后,1,hòu,N,behind / after,後面，在＋N後面，三天後，一年後。,我後面坐著一個法國人。;他站在門後玩手機。 / 我三天後就要回國了。,1593,891,19555
45,話,话,1,huà,N,words,一句話。,我聽不懂你說的話。這句話是什麼意思？,589,1492,20243
46,幾,几,1,jǐ,Det,"how many, how much / which / a few, several",幾個，幾天，幾個月，幾歲，幾月，幾號，星期幾，幾本，幾張，幾分鐘。,你學了幾年的中文？你喝了幾杯咖啡？你今年幾歲？ / 今天是幾號？ / 我這裡有幾本中文書，你想看嗎？你可以等我幾分鐘嗎？,963,706,21212 21540
47,家,家,1,jiā,N/M,"home / family / classifier for store, restaurant",回家，在家，我家，一家店，一家餐廳。,我家在台中。我下課以後就回家吃飯。 / 我家有四個人。 / 學校旁邊有很多家餐廳。,1060,1286,16670 21800
48,叫,叫,1,jiào,V,named / to ask,叫（人）做……。,你叫什麼名字？我叫王小明。 / 老師叫我們做功課。,533,570,22498
49,腳,脚,1,jiǎo,N,foot,一隻腳，左腳，右腳。,走了一天，我的腳很痛。,208,178,22455
50,姊姊,姊姊,1,jiějie,N,elder sister,我姐。,我的姐姐比大我一歲。,108,328,36718
50,姐姐,姐姐,1,jiějie,N,elder sister,我姐。,我的姐姐比大我一歲。,108,328,45347
50,姊,姊,1,jiě,N,elder sister,我姐。,我的姐姐比大我一歲。,108,328,22185 36714
50,姐,姐,1,jiě,N,elder sister,我姐。,我的姐姐比大我一歲。,108,328,22181
51,今年,今年,1,jīnnián,N,this year,今年三月，今年是2020年。,我今年五十歲。,44,343,23129
52,今天,今天,1,jīntiān,N,today,今天早上，今天下午三點。,我今天要去學校上課。,290,1071,23128
53,就,就,1,jiù,Adv,"only, merely, just / exactly, precisely",就兩個月，就學了兩年，就是，就在。,我就學了兩年中文。 / 學校就在我家旁邊。我們再走三分鐘就到學校了。,7262,16921,22719
54,久,久,1,jiǔ,Vs,long time,,他們在台灣住了很久。,276,293,22608
55,九,九,1,jiǔ,N,nine,九個，九張，九年。,我家有九個人。,138,82,22594
56,咖啡,咖啡,1,kāfēi,N,coffee,一杯咖啡，喝咖啡。,我喜歡喝咖啡。,55,89,17911
57,看,看,1,kàn,V,"to look at, to see, to take a look / to watch / to read / to visit",看電視，看電影，看手機，看書，看朋友。,你在看什麼？你看，這些花好漂亮。 / 上課的時候不要看手機。今天晚上我想去看電影。 / 我喜歡看書。你看得懂中文書嗎？ / 我明天去台中看朋友。,1808,3076,18398 18436
58,可能,可能,1,kěnéng,Vaux,"probably, maybe, perhaps",（很）可能會。,明天可能會下雨。十點了，他可能不會來了。,1124,1522,17980
59,可以,可以,1,kěyǐ,Vaux,"allowed / could / be able to, can",,上課的時候可以吃東西嗎？ / 你可以給我介紹台灣好玩的地方嗎？ / 你可以用中文介紹自己嗎？,2312,4257,18015
60,塊,块,1,kuài,M,piece / classifier for money and currency units,一塊肉，一塊蛋糕，五塊錢，十塊美金。,我中午吃了一塊蛋糕，喝了一杯咖啡。 / 一杯咖啡四十五塊。,240,542,18700
61,來,来,1,lái,V,to come,,他來台灣學中文。公車來了。,2983,5979,13269
62,老,老,1,lǎo,Vs,"aged / old, outdated",老先生，老太太，老房子，老朋友。,我奶奶很老了，她今年已經九十歲了。 / 我住在一間老房子裡。我們是二十年的老朋友。,367,267,13471
63,老師,老师,1,lǎoshī,N,teacher,三位老師，英文老師。,他是我的中文老師。張老師早。,327,1420,13585
64,冷,冷,1,lěng,Vs,"cold, cool",天氣冷，冷空氣。,今天很冷。,71,215,13862
65,兩,两,1,liǎng,N,"two, both, pair",兩個，兩天，兩杯酒。,桌上有兩杯牛奶。,2149,1737,14994
66,六,六,1,liù,N,six,六個，六張，六年。,我買了六個雞蛋。,306,208,14595 15298
67,路,路,1,lù,N,"road,street",一條路，路上，路邊。,這條路上有很多車。我住在一心路。,300,352,15338
68,嗎,吗,1,ma,Ptc,final interrogative particle,真的嗎，是……嗎。,你是老師嗎？你吃飯了嗎？,945,1760,3600 3585
69,買,买,1,mǎi,V,to buy,買……給……。,他買了一輛新車。媽媽買了一件新衣服給我。,262,449,3795
70,媽媽,妈妈,1,māma,N,mother,我媽媽。,我媽媽喜歡看電影。媽媽，生日快樂。,402,1342,3519
70,媽,妈,1,ma,N,mother,我媽媽。,我媽媽喜歡看電影。媽媽，生日快樂。,402,1342,3518
71,沒,没,1,méi,Adv,"do not have / there is not, not exist / haven't had",沒錢，沒時間。,我沒錢了，今天不能跟你們去看電影。 / 教室裡沒人。我家附近沒好吃的餐廳。 / 我沒吃過台灣的小吃。他昨天沒來上課。我還沒吃早飯。,1269,1260,3846 3710
72,沒關係,没关系,1,méiguānxi,Ph,It's ok. That’s fine. It doesn't matter…,,A：「對不起！」 B：「沒關係！」你不去沒關係，我自己去。,27,107,3856
73,妹妹,妹妹,1,mèimei,N,younger sister,他妹妹，我的妹妹。,她的妹妹是我的同學。,95,83,3985
73,妹,妹,1,mèi,N,younger sister,他妹妹，我的妹妹。,她的妹妹是我的同學。,95,83,3984
74,沒有,没有,1,méiyǒu,Ph,"do not have / there is not, not exist",,他現在沒有時間出去玩。 / 我家附近沒有好吃的餐廳。,2443,3355,3872
75,們,们,1,men,N,nominal suffix indicating plural,孩子們，同學們。,同學們，上課了。,560,623,4262 45128
76,名字,名字,1,míngzi,N,name,叫……名字，中文名字。,你叫什麼名字？我的名字是大明。,182,111,4842
77,明天,明天,1,míngtiān,N,tomorrow,明天早上，明天九點。,明天是星期一。明天會下雨。你明天要不要和我一起去看電影？,78,131,4882
78,拿,拿,1,ná,V,to hold / to take,拿著（東西），拿給，拿到。,他手裡拿著一杯茶。 / 那本書，請你拿給我。,298,343,12134
79,哪,哪,1,nǎ,Det,which,哪個，哪國，哪天。,你是哪國人？,275,382,12151 12179 12964
80,哪裡,哪里,1,nǎlǐ,N,where,去哪裡，到哪裡，在哪裡，從哪裡。,你週末要去哪裡？,221,307,45213
80,哪裏,哪里,1,nǎlǐ,N,where,去哪裡，到哪裡，在哪裡，從哪裡。,你週末要去哪裡？,221,307,
80,哪兒,哪儿,1,nǎr,N,where,去哪裡，到哪裡，在哪裡，從哪裡。,你週末要去哪裡？,221,307,
81,那,那,1,nà,N,there,在那裡，從那裡，到那裡，去那裡。,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。,3314,9035,12130 12145 12170
81,那裡,那里,1,nàlǐ,N,there,在那裡，從那裡，到那裡，去那裡。,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。,3314,9035,12148 12173
81,那裏,那里,1,nàlǐ,N,there,在那裡，從那裡，到那裡，去那裡。,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。,3314,9035,
81,那兒,那儿,1,nàr,N,there,在那裡，從那裡，到那裡，去那裡。,A：「我的書在哪裡？」 B：「在老師那裡。」我很喜歡台灣，那裡有我喜歡的同學和老師。,3314,9035,
82,難,难,1,nán,Vs,difficult / bad,難看，難吃，難聽。,我覺得中文很難。這個字很難寫。 / 這部電影很難看。這杯咖啡很難喝。,307,415,12436 12496
83,呢,呢,1,ne,Ptc,final particle (for query),,我想喝咖啡，你想喝什麼呢？我是台灣人，你呢？,800,1792,12181 12563
84,你,你,1,nǐ,N,you,,你今天午餐想吃什麼？他很喜歡你。,5891,8736,12572
85,妳,你,1,nǐ,N,you (female),,妳好，我是妳的同學。,463,1653,12580
86,你們,你们,1,nǐmen,N,you (plural),,你們今天想去哪裡玩？我想請你們來我家喝咖啡。,409,1299,12573
87,年,年,1,nián,M,year,每年，一年，二十年。,我在台灣住了三年。,1952,2976,12761
88,您,您,1,nín,N,honorific for ‘‘you’’,謝謝您，您好。,您好，我是王小明。請問您姓什麼？,347,764,12880
89,女兒,女儿,1,nǚ'ér,N,daughter,我女兒，小女兒。,我有兩個女兒。,220,168,13132
90,朋友,朋友,1,péngyǒu,N,friend,三個朋友，好朋友，老朋友。,我有很多外國朋友。,445,464,2895
91,七,七,1,qī,N,seven,七個，七張，七天。,一個星期有七天。,240,151,24344
92,前,前,1,qián,N,in front of / before / previous,在＋（東西）前，三天前，一年前，前兩天，前一課。,他站在桌子前跟我說話。 / 我一年前來台灣學中文。 / 這件是我前兩天買的新衣服。,1041,807,25160
93,錢,钱,1,qián,N,money,一塊錢，多少錢。,這個東西多少錢？這本書，兩百五十塊錢。,365,489,25262
94,千,千,1,qiān,N,thousand,三千人，一千元。,桌上有一千元。,70,75,25049
